sample_name	alias	group	platform	purity	panel
E-P1-Run1V3-Pos7-Rep3-T1	ctDNA	E-P1-Run1V3-Pos7-Rep3-T1	ILLUMINA	1	
E-P1-Run7V2-Pos17-Rep1-T1	ctDNA	E-P1-Run7V2-Pos17-Rep1-T1	ILLUMINA	1	
E-P1-Run7V2-Pos18-Rep1-T1	ctDNA	E-P1-Run7V2-Pos18-Rep1-T1	ILLUMINA	1	
E-P2-Run1V2-Pos1-Rep1-T1	ctDNA	E-P2-Run1V2-Pos1-Rep1-T1	ILLUMINA	1	
E-P4-Run2V2-Pos18-Rep1-T1	ctDNA	E-P4-Run2V2-Pos18-Rep1-T1	ILLUMINA	1	
E-P5-Run2V2-Pos13-Rep1-T1	ctDNA	E-P5-Run2V2-Pos13-Rep1-T1	ILLUMINA	1	
E-P6-Run1V2-Pos3-Rep1-T1	ctDNA	E-P6-Run1V2-Pos3-Rep1-T1	ILLUMINA	1	
E-P6-Run2V2-Pos1-Rep1-T2	ctDNA	E-P6-Run2V2-Pos1-Rep1-T2	ILLUMINA	1	
E-P7-Run1V2-Pos4-Rep1-T1	ctDNA	E-P7-Run1V2-Pos4-Rep1-T1	ILLUMINA	1	
E-P8-Run2V3-Pos21-Rep2-T1	ctDNA	E-P8-Run2V3-Pos21-Rep2-T1	ILLUMINA	1	
E-P8-Run2V3-Pos22-Rep1-T3	ctDNA	E-P8-Run2V3-Pos22-Rep1-T3	ILLUMINA	1	
E-P8-Run2V3-Pos23-Rep1-T5	ctDNA	E-P8-Run2V3-Pos23-Rep1-T5	ILLUMINA	1	
E-P8-Run2V3-Pos24-Rep1-T6	ctDNA	E-P8-Run2V3-Pos24-Rep1-T6	ILLUMINA	1	
E-P8-Run6V2-Pos9-Rep1-T1	ctDNA	E-P8-Run6V2-Pos9-Rep1-T1	ILLUMINA	1	
E-P8-Run6V2-Pos10-Rep1-T2	ctDNA	E-P8-Run6V2-Pos10-Rep1-T2	ILLUMINA	1	
E-P8-Run7V2-Pos13-Rep1-T4	ctDNA	E-P8-Run7V2-Pos13-Rep1-T4	ILLUMINA	1	
E-P8-Run7V2-Pos14-Rep2-T4	ctDNA	E-P8-Run7V2-Pos14-Rep2-T4	ILLUMINA	1	
E-P9-Run1V3-Pos12-Rep2-T1	ctDNA	E-P9-Run1V3-Pos12-Rep2-T1	ILLUMINA	1	
E-P9-Run2V2-Pos16-Rep1-T1	ctDNA	E-P9-Run2V2-Pos16-Rep1-T1	ILLUMINA	1	
E-P10-Run1V3-Pos1-Rep1-T2	ctDNA	E-P10-Run1V3-Pos1-Rep1-T2	ILLUMINA	1	
E-P11-Run2V3-Pos8-Rep3-T1	ctDNA	E-P11-Run2V3-Pos8-Rep3-T1	ILLUMINA	1	
E-P11-Run2V3-Pos9-Rep1-T2	ctDNA	E-P11-Run2V3-Pos9-Rep1-T2	ILLUMINA	1	
E-P11-Run7V2-Pos21-Rep2-T1	ctDNA	E-P11-Run7V2-Pos21-Rep2-T1	ILLUMINA	1	
E-P11-Run7V2-Pos22-Rep1-T1	ctDNA	E-P11-Run7V2-Pos22-Rep1-T1	ILLUMINA	1	
E-P12-Run1V2-Pos5-Rep1-T1	ctDNA	E-P12-Run1V2-Pos5-Rep1-T1	ILLUMINA	1	
E-P13-Run7V2-Pos7-Rep1-T2	ctDNA	E-P13-Run7V2-Pos7-Rep1-T2	ILLUMINA	1	
E-P13-Run7V2-Pos8-Rep2-T2	ctDNA	E-P13-Run7V2-Pos8-Rep2-T2	ILLUMINA	1	
E-P13-Run1V3-Pos11-Rep2-T1	ctDNA	E-P13-Run1V3-Pos11-Rep2-T1	ILLUMINA	1	
E-P13-Run2V2-Pos17-Rep1-T1	ctDNA	E-P13-Run2V2-Pos17-Rep1-T1	ILLUMINA	1	
E-P14-Run2V3-Pos17-Rep1-T4	ctDNA	E-P14-Run2V3-Pos17-Rep1-T4	ILLUMINA	1	
E-P14-Run2V3-Pos18-Rep1-T6	ctDNA	E-P14-Run2V3-Pos18-Rep1-T6	ILLUMINA	1	
E-P14-Run2V3-Pos19-Rep1-T7	ctDNA	E-P14-Run2V3-Pos19-Rep1-T7	ILLUMINA	1	
E-P14-Run2V3-Pos20-Rep1-T8	ctDNA	E-P14-Run2V3-Pos20-Rep1-T8	ILLUMINA	1	
E-P14-Run2V2-Pos8-Rep1-T1	ctDNA	E-P14-Run2V2-Pos8-Rep1-T1	ILLUMINA	1	
E-P14-Run2V2-Pos9-Rep1-T2	ctDNA	E-P14-Run2V2-Pos9-Rep1-T2	ILLUMINA	1	
E-P14-Run6V2-Pos5-Rep1-T3	ctDNA	E-P14-Run6V2-Pos5-Rep1-T3	ILLUMINA	1	
E-P14-Run6V2-Pos6-Rep1-T5	ctDNA	E-P14-Run6V2-Pos6-Rep1-T5	ILLUMINA	1	
E-P15-Run1V3-Pos8-Rep1-T1	ctDNA	E-P15-Run1V3-Pos8-Rep1-T1	ILLUMINA	1	
E-P16-Run1V3-Pos9-Rep3-T1	ctDNA	E-P16-Run1V3-Pos9-Rep3-T1	ILLUMINA	1	
E-P16-Run7V2-Pos19-Rep1-T1	ctDNA	E-P16-Run7V2-Pos19-Rep1-T1	ILLUMINA	1	
E-P16-Run7V2-Pos20-Rep2-T1	ctDNA	E-P16-Run7V2-Pos20-Rep2-T1	ILLUMINA	1	
E-P17-Run1V3-Pos21-Rep1-T2	ctDNA	E-P17-Run1V3-Pos21-Rep1-T2	ILLUMINA	1	
E-P17-Run1V3-Pos22-Rep1-T3	ctDNA	E-P17-Run1V3-Pos22-Rep1-T3	ILLUMINA	1	
E-P17-Run1V3-Pos23-Rep1-T4	ctDNA	E-P17-Run1V3-Pos23-Rep1-T4	ILLUMINA	1	
E-P17-Run1V3-Pos24-Rep2-T5	ctDNA	E-P17-Run1V3-Pos24-Rep2-T5	ILLUMINA	1	
E-P17-Run1V2-Pos6-Rep1-T1	ctDNA	E-P17-Run1V2-Pos6-Rep1-T1	ILLUMINA	1	
E-P17-Run2V2-Pos2-Rep1-T5	ctDNA	E-P17-Run2V2-Pos2-Rep1-T5	ILLUMINA	1	
E-P18-Run1V2-Pos7-Rep1-T1	ctDNA	E-P18-Run1V2-Pos7-Rep1-T1	ILLUMINA	1	
E-P18-Run2V2-Pos3-Rep1-T2	ctDNA	E-P18-Run2V2-Pos3-Rep1-T2	ILLUMINA	1	
E-P18-Run1V3-Pos3-Rep1-T1	ctDNA	E-P18-Run1V3-Pos3-Rep1-T1	ILLUMINA	1	
E-P19-Run1V2-Pos8-Rep1-T1	ctDNA	E-P19-Run1V2-Pos8-Rep1-T1	ILLUMINA	1	
E-P20-Run1V3-Pos3-Rep1-T1	ctDNA	E-P20-Run1V3-Pos3-Rep1-T1	ILLUMINA	1	
E-P21-Run6V2-Pos13-Rep1-T1	ctDNA	E-P21-Run6V2-Pos13-Rep1-T1	ILLUMINA	1	
E-P22-Run1V3-Pos6-Rep1-T1	ctDNA	E-P22-Run1V3-Pos6-Rep1-T1	ILLUMINA	1	
E-P23-Run7V2-Pos23-Rep1-T1	ctDNA	E-P23-Run7V2-Pos23-Rep1-T1	ILLUMINA	1	
E-P23-Run7V2-Pos24-Rep2-T1	ctDNA	E-P23-Run7V2-Pos24-Rep2-T1	ILLUMINA	1	
E-P24-Run1V3-Pos17-Rep1-T3	ctDNA	E-P24-Run1V3-Pos17-Rep1-T3	ILLUMINA	1	
E-P24-Run1V3-Pos18-Rep1-T4	ctDNA	E-P24-Run1V3-Pos18-Rep1-T4	ILLUMINA	1	
E-P24-Run1V3-Pos19-Rep2-T6	ctDNA	E-P24-Run1V3-Pos19-Rep2-T6	ILLUMINA	1	
E-P24-Run1V3-Pos20-Rep3-T7	ctDNA	E-P24-Run1V3-Pos20-Rep3-T7	ILLUMINA	1	
E-P24-Run2V2-Pos4-Rep1-T1	ctDNA	E-P24-Run2V2-Pos4-Rep1-T1	ILLUMINA	1	
E-P24-Run2V2-Pos5-Rep1-T2	ctDNA	E-P24-Run2V2-Pos5-Rep1-T2	ILLUMINA	1	
E-P24-Run6V2-Pos1-Rep1-T5	ctDNA	E-P24-Run6V2-Pos1-Rep1-T5	ILLUMINA	1	
E-P24-Run6V2-Pos1-Rep1-T6	ctDNA	E-P24-Run6V2-Pos1-Rep1-T6	ILLUMINA	1	
E-P24-Run7V2-Pos3-Rep1-T7	ctDNA	E-P24-Run7V2-Pos3-Rep1-T7	ILLUMINA	1	
E-P24-Run7V2-Pos4-Rep2-T7	ctDNA	E-P24-Run7V2-Pos4-Rep2-T7	ILLUMINA	1	
E-P24-Run2V3-Pos9-Rep2-T7	ctDNA	E-P24-Run2V3-Pos9-Rep2-T7	ILLUMINA	1	
E-P25-Run1V2-Pos10-Rep1-T1	ctDNA	E-P25-Run1V2-Pos10-Rep1-T1	ILLUMINA	1	
E-P25-Run2V2-Pos6-Rep1-T2	ctDNA	E-P25-Run2V2-Pos6-Rep1-T2	ILLUMINA	1	
E-P26-Run1V3-Pos10-Rep1-T3	ctDNA	E-P26-Run1V3-Pos10-Rep1-T3	ILLUMINA	1	
E-P26-Run6V2-Pos7-Rep1-T2	ctDNA	E-P26-Run6V2-Pos7-Rep1-T2	ILLUMINA	1	
E-P26-Run6V2-Pos7-Rep1-T1	ctDNA	E-P26-Run6V2-Pos7-Rep1-T1	ILLUMINA	1	
E-P27-Run1V2-Pos11-Rep1-T1	ctDNA	E-P27-Run1V2-Pos11-Rep1-T1	ILLUMINA	1	
E-P28-Run2V3-Pos3-Rep2-T1	ctDNA	E-P28-Run2V3-Pos3-Rep2-T1	ILLUMINA	1	
E-P28-Run2V3-Pos4-Rep1-T2	ctDNA	E-P28-Run2V3-Pos4-Rep1-T2	ILLUMINA	1	
E-P28-Run6V2-Pos17-Rep1-T1	ctDNA	E-P28-Run6V2-Pos17-Rep1-T1	ILLUMINA	1	
E-P29-Run2V3-Pos10-Rep1-T1	ctDNA	E-P29-Run2V3-Pos10-Rep1-T1	ILLUMINA	1	
E-P29-Run2V3-Pos11-Rep1-T2	ctDNA	E-P29-Run2V3-Pos11-Rep1-T2	ILLUMINA	1	
E-P30-Run1V3-Pos2-Rep3-T1	ctDNA	E-P30-Run1V3-Pos2-Rep3-T1	ILLUMINA	1	
E-P30-Run7V2-Pos15-Rep2-T1	ctDNA	E-P30-Run7V2-Pos15-Rep2-T1	ILLUMINA	1	
E-P30-Run7V2-Pos16-Rep1-T1	ctDNA	E-P30-Run7V2-Pos16-Rep1-T1	ILLUMINA	1	
E-P31-Run2V3-Pos12-Rep2-T1	ctDNA	E-P31-Run2V3-Pos12-Rep2-T1	ILLUMINA	1	
E-P31-Run6V2-Pos14-Rep1-T3	ctDNA	E-P31-Run6V2-Pos14-Rep1-T3	ILLUMINA	1	
E-P31-Run6V2-Pos15-Rep2-T3	ctDNA	E-P31-Run6V2-Pos15-Rep2-T3	ILLUMINA	1	
E-P31-Run2V2-Pos15-Rep1-T1	ctDNA	E-P31-Run2V2-Pos15-Rep1-T1	ILLUMINA	1	
E-P32-Run2V3-Pos1-Rep1-T1	ctDNA	E-P32-Run2V3-Pos1-Rep1-T1	ILLUMINA	1	
E-P32-Run2V3-Pos2-Rep1-T2	ctDNA	E-P32-Run2V3-Pos2-Rep1-T2	ILLUMINA	1	
E-P33-Run1V3-Pos13-Rep2-T3	ctDNA	E-P33-Run1V3-Pos13-Rep2-T3	ILLUMINA	1	
E-P33-Run1V3-Pos14-Rep1-T4	ctDNA	E-P33-Run1V3-Pos14-Rep1-T4	ILLUMINA	1	
E-P33-Run1V3-Pos15-Rep2-T9	ctDNA	E-P33-Run1V3-Pos15-Rep2-T9	ILLUMINA	1	
E-P33-Run1V3-Pos16-Rep3-T10	ctDNA	E-P33-Run1V3-Pos16-Rep3-T10	ILLUMINA	1	
E-P33-Run2V2-Pos10-Rep1-T1	ctDNA	E-P33-Run2V2-Pos10-Rep1-T1	ILLUMINA	1	
E-P33-Run7V2-Pos1-Rep2-T10E	ctDNA	E-P33-Run7V2-Pos1-Rep2-T10E	ILLUMINA	1	
E-P33-Run7V2-Pos2-Rep1-T10S	ctDNA	E-P33-Run7V2-Pos2-Rep1-T10S	ILLUMINA	1	
E-P33-Run2V2-Pos11-Rep1-T3	ctDNA	E-P33-Run2V2-Pos11-Rep1-T3	ILLUMINA	1	
E-P33-Run3V2-Pos21-Rep1-T2	ctDNA	E-P33-Run3V2-Pos21-Rep1-T2	ILLUMINA	1	
E-P33-Run3V2-Pos22-Rep1-T5	ctDNA	E-P33-Run3V2-Pos22-Rep1-T5	ILLUMINA	1	
E-P33-Run3V2-Pos23-Rep1-T6	ctDNA	E-P33-Run3V2-Pos23-Rep1-T6	ILLUMINA	1	
E-P33-Run3V2-Pos24-Rep1-T7	ctDNA	E-P33-Run3V2-Pos24-Rep1-T7	ILLUMINA	1	
E-P33-Run6V2-Pos11-Rep2-T5	ctDNA	E-P33-Run6V2-Pos11-Rep2-T5	ILLUMINA	1	
E-P33-Run6V2-Pos12-Rep1-T9	ctDNA	E-P33-Run6V2-Pos12-Rep1-T9	ILLUMINA	1	
E-P34-Run1V3-Pos5-Rep2-T2	ctDNA	E-P34-Run1V3-Pos5-Rep2-T2	ILLUMINA	1	
E-P34-Run7V2-Pos9-Rep1-T2-E	ctDNA	E-P34-Run7V2-Pos9-Rep1-T2-E	ILLUMINA	1	
E-P34-Run7V2-Pos10-Rep3-T2-S	ctDNA	E-P34-Run7V2-Pos10-Rep3-T2-S	ILLUMINA	1	
E-P34-Run2V2-Pos14-Rep1-T1	ctDNA	E-P34-Run2V2-Pos14-Rep1-T1	ILLUMINA	1	
E-P35-Run2V2-Pos7-Rep1-T1	ctDNA	E-P35-Run2V2-Pos7-Rep1-T1	ILLUMINA	1	
E-P36-Run2V3-Pos5-Rep2-T1	ctDNA	E-P36-Run2V3-Pos5-Rep2-T1	ILLUMINA	1	
E-P36-Run2V3-Pos6-Rep1-T2	ctDNA	E-P36-Run2V3-Pos6-Rep1-T2	ILLUMINA	1	
E-P36-Run2V3-Pos7-Rep1-T7	ctDNA	E-P36-Run2V3-Pos7-Rep1-T7	ILLUMINA	1	
E-P36-Run2V2-Pos19-Rep1-T1	ctDNA	E-P36-Run2V2-Pos19-Rep1-T1	ILLUMINA	1	
E-P36-Run2V2-Pos20-Rep1-T3	ctDNA	E-P36-Run2V2-Pos20-Rep1-T3	ILLUMINA	1	
E-P36-Run6V2-Pos3-Rep1-T4	ctDNA	E-P36-Run6V2-Pos3-Rep1-T4	ILLUMINA	1	
E-P36-Run6V2-Pos4-Rep1-T5	ctDNA	E-P36-Run6V2-Pos4-Rep1-T5	ILLUMINA	1	
E-P36-Run7V2-Pos11-Rep1-T6-E	ctDNA	E-P36-Run7V2-Pos11-Rep1-T6-E	ILLUMINA	1	
E-P36-Run7V2-Pos12-Rep2-T6-S	ctDNA	E-P36-Run7V2-Pos12-Rep2-T6-S	ILLUMINA	1	
E-P37-Run2V3-Pos13-Rep3-T1	ctDNA	E-P37-Run2V3-Pos13-Rep3-T1	ILLUMINA	1	
E-P37-Run2V3-Pos14-Rep1-T2	ctDNA	E-P37-Run2V3-Pos14-Rep1-T2	ILLUMINA	1	
E-P37-Run7V2-Pos5-Rep2-T1-E	ctDNA	E-P37-Run7V2-Pos5-Rep2-T1-E	ILLUMINA	1	
E-P37-Run7V2-Pos6-Rep1-T1-S	ctDNA	E-P37-Run7V2-Pos6-Rep1-T1-S	ILLUMINA	1	
E-NF1-Run5V2-Pos1-Rep1-T1	ctDNA	E-NF1-Run5V2-Pos1-Rep1-T1	ILLUMINA	1	
E-NF2-Run5V2-Pos1-Rep1-T1	ctDNA	E-NF2-Run5V2-Pos1-Rep1-T1	ILLUMINA	1	
E-NF3-Run5V2-Pos1-Rep1-T1	ctDNA	E-NF3-Run5V2-Pos1-Rep1-T1	ILLUMINA	1	
E-NF4-Run5V2-Pos1-Rep1-T1	ctDNA	E-NF4-Run5V2-Pos1-Rep1-T1	ILLUMINA	1	
E-NF5-Run5V2-Pos1-Rep1-T1	ctDNA	E-NF5-Run5V2-Pos1-Rep1-T1	ILLUMINA	1	
E-NM1-Run5V2-Pos1-Rep1-T1	ctDNA	E-NM1-Run5V2-Pos1-Rep1-T1	ILLUMINA	1	
E-NM2-Run5V2-Pos1-Rep1-T1	ctDNA	E-NM2-Run5V2-Pos1-Rep1-T1	ILLUMINA	1	
E-NM3-Run5V2-Pos1-Rep1-T1	ctDNA	E-NM3-Run5V2-Pos1-Rep1-T1	ILLUMINA	1	
E-NM4-Run5V2-Pos1-Rep1-T1	ctDNA	E-NM4-Run5V2-Pos1-Rep1-T1	ILLUMINA	1	
E-NM5-Run5V2-Pos1-Rep1-T1	ctDNA	E-NM5-Run5V2-Pos1-Rep1-T1	ILLUMINA	1	
